lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
20.0,20.0,12.007874015748031,50.0,DDM (Full),8.00524934383202,190.2903622658385,222.94083092447076,0.9782085487937285,true,0.10430813126780288,true,17.0,23.0,10.6,3.5999999999999996,14.2,6.12
20.0,20.0,12.007874015748031,50.0,EFM (HC),8.00524934383202,191.14981886563413,222.94083092447076,0.9618318513942222,true,0.06138586605046992,true,17.0,24.999999999999996,12.600000000000001,3.5999999999999996,16.2,0.117
20.0,20.0,12.007874015748031,50.0,EFM (ASAP),8.00524934383202,191.14981886563413,222.94083092447076,0.9455632142792242,true,0.06138586605046992,true,17.0,24.999999999999996,12.600000000000001,3.5999999999999996,16.2,0.91
20.0,20.0,12.007874015748031,50.0,FEA,8.00524934383202,190.2903622658385,222.94083092447076,0.9769871396868717,true,0.10380013025641228,true,17.0,23.0,10.399999999999999,3.5999999999999996,14.0,6.395
20.0,20.0,12.007874015748031,80.0,MDDM,8.00524934383202,227.10612471390343,270.94083092447073,0.9775349289599589,true,0.16282680239129307,true,17.0,26.999999999999996,12.2,3.8,16.0,9.654
20.0,20.0,12.007874015748031,80.0,DDM (Full),8.00524934383202,227.10612471390343,270.94083092447073,0.9754289198078782,true,0.1631002169949131,true,17.0,26.999999999999996,12.399999999999999,3.8,16.2,10.151
20.0,20.0,12.007874015748031,80.0,EFM (HC),8.00524934383202,230.73922560150038,270.94083092447073,0.978677895429705,true,0.0982173856807518,true,17.0,30.999999999999993,14.999999999999998,3.5999999999999996,18.599999999999998,0.965
20.0,20.0,12.007874015748031,80.0,EFM (ASAP),8.00524934383202,231.26059347420198,270.94083092447073,0.9948936698696392,true,0.0982173856807518,true,17.0,28.999999999999993,15.2,3.5999999999999996,18.8,0.146
20.0,20.0,12.007874015748031,80.0,FEA,8.00524934383202,227.10612471390343,270.94083092447073,0.9773943287707338,true,0.16284999973982645,true,17.0,26.999999999999996,12.399999999999999,3.5999999999999996,15.999999999999998,9.085
24.0,24.0,12.007874015748031,40.0,MDDM,9.606299212598426,342.1022626179026,230.72899710936494,0.9965763912933469,true,0.08522153668184301,true,20.0,25.999999999999996,15.399999999999999,5.199999999999999,20.599999999999998,6.995
24.0,24.0,12.007874015748031,40.0,DDM (Full),9.606299212598426,342.1022626179026,230.72899710936494,0.9976939747125643,true,0.08519816118661885,true,20.0,25.999999999999996,15.399999999999999,5.199999999999999,20.599999999999998,7.002
24.0,24.0,12.007874015748031,40.0,EFM (HC),9.606299212598426,342.74395132638824,230.72899710936494,0.9606309921375586,true,0.049108692840375896,true,20.0,29.999999999999993,18.0,5.199999999999999,23.2,0.155
24.0,24.0,12.007874015748031,40.0,EFM (ASAP),9.606299212598426,343.3862412859001,230.72899710936494,0.999363814186379,true,0.049108692840375896,true,20.0,27.999999999999993,18.0,5.199999999999999,23.2,0.1
24.0,24.0,12.007874015748031,40.0,FEA,9.606299212598426,342.1022626179026,230.72899710936494,0.996776582337805,true,0.08523755118389074,true,20.0,25.999999999999996,15.2,5.199999999999999,20.4,6.571
